,coin,acc_trade_vol,traded_time,traded_price,ask_bid,high,dev,24h_vol
172,KRW-MASK,1230205.3224185,1714500405.63681,4408.0,ASK,4909.0,-1.0586352797947574e-07,6318512265.429031
173,KRW-MASK,1231668.2224185,1714500405.640613,4409.0,ASK,4909.0,-2.3152602045329855e-07,6318512265.429031
174,KRW-BTG,174664.001888,1714500405.644327,43540.0,BID,46200.0,6.526841019751305e-10,8475708421.992929
175,KRW-STX,22143334.62226721,1714500405.727762,3237.0,ASK,3739.0,-4.762017182203918e-10,85005633114.81331
176,KRW-MASK,1231833.2224185,1714500405.7319949,4408.0,BID,4909.0,2.611374213875905e-08,6318512265.429031
177,KRW-MASK,1232071.09604729,1714500405.73611,4408.0,BID,4909.0,3.764709456865161e-08,6318512265.429031
178,KRW-MASK,1232495.46803803,1714500405.7456892,4408.0,BID,4909.0,6.716327719453295e-08,6318512265.429031
179,KRW-MASK,1232660.46803803,1714500405.7480361,4422.0,BID,4909.0,2.611374213875905e-08,6318512265.429031
180,KRW-MASK,1232690.19426421,1714500405.749752,4412.0,ASK,4909.0,-4.704624274093252e-09,6318512265.429031
181,KRW-MASK,1232944.46803803,1714500405.9033222,4412.0,BID,4909.0,4.0242665225346565e-08,6318512265.429031
182,KRW-ETH,31125.22313129,1714500405.963257,4290000.0,BID,4653000.0,2.0855048048270516e-14,156480099887.04108
183,KRW-BSV,74894.14246411,1714500406.2539442,85770.0,BID,94680.0,1.7091170897329458e-10,7606266462.446051
184,KRW-SBD,1531277.73916548,1714500406.553386,5288.0,BID,5527.0,8.111834377253047e-10,8415358441.319309
185,KRW-STX,22143368.04226721,1714500406.559904,3237.0,ASK,3739.0,-3.931504157689084e-10,85005633114.81331
186,KRW-HIFI,7888037.81174011,1714500406.563434,1015.0,BID,1140.0,1.1001536943695974e-08,9687902094.532438
187,KRW-GRT,46205274.77442336,1714500406.624511,334.8,ASK,373.0,-1.6760938460765267e-08,17767281230.40408
188,KRW-GRT,46208261.63224892,1714500406.627945,334.8,ASK,373.0,-1.6811001001386344e-07,17767281230.40408
189,KRW-BCH,33956.29805285,1714500407.270259,615500.0,ASK,673200.0,-4.909386198860508e-11,24386055639.140945
